Name of Sound;Estimated Angle;Real Angle;Angle Difference
Rosa_noise;160;158,1946;1,805374
Rosa_noise;285;283,0013;1,998688
Rosa_noise;329;324,9608;4,039215
Rosa_noise;171;169,2405;1,759445
Rosa_noise;283;280,2919;2,70813
Rosa_noise;249,0002;246,2615;2,738647
Rosa_noise;303,0001;301,0407;1,959442
Rosa_noise;259;256,8784;2,121643
Rosa_noise;75,00002;71,77189;3,228134
Rosa_noise;255;251,7912;3,208801
Sinus_200;3,000072;298,6853;-295,6852
Sinus_200;354,9999;281,6711;73,32889
Sinus_200;299,0001;231,2161;67,784
Sinus_200;330,9998;258,5653;72,43448
Sinus_200;359;214,5173;144,4827
Sinus_200;3,000009;338,0015;-335,0015
Sinus_200;335,0002;268,7793;66,22089
Sinus_200;335,0001;34,22105;300,7791
Sinus_200;11,00008;203,3369;-192,3368
Sinus_200;353,0001;165,5175;187,4826
Sinus_1000;275;278,4386;-3,438599
Sinus_1000;238,9998;241,6154;-2,615646
Sinus_1000;54,99988;58,98994;-3,990059
Sinus_1000;342,9998;347,0514;-4,051575
Sinus_1000;213,0003;215,9142;-2,913925
Sinus_1000;234,9998;239,979;-4,979126
Sinus_1000;281,0001;283,5004;-2,500336
Sinus_1000;171;174,3424;-3,342377
Sinus_1000;149;152,4807;-3,480698
Sinus_1000;253;255,6268;-2,62677
Sinus_2000;83,00014;69,08947;13,91068
Sinus_2000;228,9999;216,7148;12,2851
Sinus_2000;1,000039;349,1062;-348,1062
Sinus_2000;195,0002;183,24;11,76021
Sinus_2000;342,9999;331,42;11,57986
Sinus_2000;247;233,7092;13,29082
Sinus_2000;96,99997;84,53993;12,46004
Sinus_2000;215;202,6036;12,39635
Sinus_2000;123,0002;110,2641;12,73602
Sinus_2000;137,0002;125,1251;11,87505
Sinus_3200;29;36,83352;-7,833515
Sinus_3200;247;253,1118;-6,111832
Sinus_3200;257,0001;263,5942;-6,594086
Sinus_3200;261;269,5428;-8,542786
Sinus_3200;73,00001;80,86978;-7,869774
Sinus_3200;197;205,21;-8,209976
Sinus_3200;24,99999;32,74978;-7,74979
Sinus_3200;290,9997;298,3557;-7,356079
Sinus_3200;304,9999;312,9387;-7,938751
Sinus_3200;236,9999;243,5284;-6,528473
Sinus_3200_Stereo;344,9997;352,1687;-7,169006
Sinus_3200_Stereo;151,0001;158,7466;-7,74649
Sinus_3200_Stereo;191,0001;198,2938;-7,293701
Sinus_3200_Stereo;67,00002;73,18969;-6,189674
Sinus_3200_Stereo;164,9999;173,1268;-8,126877
Sinus_3200_Stereo;173;181,1465;-8,146469
Sinus_3200_Stereo;7;14,71863;-7,718635
Sinus_3200_Stereo;284,9999;291,3495;-6,349579
Sinus_3200_Stereo;87,00001;93,61755;-6,617546
Sinus_3200_Stereo;21,00004;29,40319;-8,403145
speech;261;256,8804;4,119598
speech;221,0001;218,4604;2,539749
speech;238,9999;234,0136;4,986298
speech;359;354,7778;4,222168
speech;45,00004;40,95875;4,04129
speech;265;260,2815;4,718567
speech;241;236,6495;4,350464
speech;79,00002;74,87742;4,122604
speech;5,000007;2,447591;2,552416
speech;352,9999;348,6415;4,358398
Symphony_Sounds;214,0003;216,0242;-2,023972
Symphony_Sounds;29,00012;31,61475;-2,614628
Symphony_Sounds;76,99998;78,07414;-1,074158
Symphony_Sounds;52,99987;53,659;-0,6591301
Symphony_Sounds;78,99999;81,35159;-2,351593
Symphony_Sounds;265;267,2224;-2,222473
Symphony_Sounds;52,99988;53,71988;-0,7199974
Symphony_Sounds;271;272,7213;-1,721344
Symphony_Sounds;86,99998;88,78766;-1,787674
Symphony_Sounds;287;287,5352;-0,5352478
White_noise;112,9999;100,7677;12,23219
White_noise;181;168,6917;12,3083
White_noise;65,00004;52,88206;12,11798
White_noise;275;263,5417;11,45825
White_noise;112,9998;100,2136;12,78626
White_noise;157;146,6935;10,30644
White_noise;211;198,6162;12,38379
White_noise;23,00004;11,13666;11,86338
White_noise;83,00002;72,40811;10,5919
White_noise;98,99996;85,90117;13,09879
